"DateTime","Centers for Disease Control and Prevention[en]"
"2009-10-16 00:00:00",931
"2009-10-17 00:00:00",530
"2009-10-18 00:00:00",560
"2009-10-19 00:00:00",1035
"2009-10-20 00:00:00",1047
"2009-10-21 00:00:00",1007
"2009-10-22 00:00:00",992
"2009-10-23 00:00:00",994
"2009-10-24 00:00:00",798
"2009-10-25 00:00:00",857
"2009-10-26 00:00:00",1176
"2009-10-27 00:00:00",1083
"2009-10-28 00:00:00",1178
"2009-10-29 00:00:00",1030
"2009-10-30 00:00:00",886
"2009-10-31 00:00:00",824
"2009-11-01 00:00:00",584
"2009-11-02 00:00:00",1223
"2009-11-03 00:00:00",1141
"2009-11-04 00:00:00",1054
"2009-11-05 00:00:00",1030
"2009-11-06 00:00:00",988
"2009-11-07 00:00:00",643
"2009-11-08 00:00:00",806
"2009-11-09 00:00:00",1109
"2009-11-10 00:00:00",997
"2009-11-11 00:00:00",871
"2009-11-12 00:00:00",1076
"2009-11-13 00:00:00",1038
"2009-11-14 00:00:00",643
"2009-11-15 00:00:00",720
"2009-11-16 00:00:00",944
"2009-11-17 00:00:00",779
"2009-11-18 00:00:00",948
"2009-11-19 00:00:00",904
"2009-11-20 00:00:00",889
"2009-11-21 00:00:00",662
"2009-11-22 00:00:00",420
"2009-11-23 00:00:00",868
"2009-11-24 00:00:00",758
"2009-11-25 00:00:00",719
"2009-11-26 00:00:00",513
"2009-11-27 00:00:00",560
"2009-11-28 00:00:00",612
"2009-11-29 00:00:00",563
"2009-11-30 00:00:00",814
"2009-12-01 00:00:00",916
"2009-12-02 00:00:00",784
"2009-12-03 00:00:00",686
"2009-12-04 00:00:00",825
"2009-12-05 00:00:00",613
"2009-12-06 00:00:00",674
"2009-12-07 00:00:00",758
"2009-12-08 00:00:00",745
"2009-12-09 00:00:00",951
"2009-12-10 00:00:00",741
"2009-12-11 00:00:00",616
"2009-12-12 00:00:00",523
"2009-12-13 00:00:00",541
"2009-12-14 00:00:00",614
"2009-12-15 00:00:00",806
"2009-12-16 00:00:00",740
"2009-12-17 00:00:00",618
"2009-12-18 00:00:00",551
"2009-12-19 00:00:00",437
"2009-12-20 00:00:00",402
"2009-12-21 00:00:00",551
"2009-12-22 00:00:00",563
"2009-12-23 00:00:00",485
"2009-12-24 00:00:00",306
"2009-12-25 00:00:00",238
"2009-12-26 00:00:00",287
"2009-12-27 00:00:00",341
"2009-12-28 00:00:00",417
"2009-12-29 00:00:00",441
"2009-12-30 00:00:00",448
"2009-12-31 00:00:00",503
"2010-01-01 00:00:00",425
"2010-01-02 00:00:00",418
"2010-01-03 00:00:00",430
"2010-01-04 00:00:00",541
"2010-01-05 00:00:00",501
"2010-01-06 00:00:00",652
"2010-01-07 00:00:00",615
"2010-01-08 00:00:00",630
"2010-01-09 00:00:00",475
"2010-01-10 00:00:00",517
"2010-01-11 00:00:00",700
"2010-01-12 00:00:00",638
"2010-01-13 00:00:00",732
"2010-01-14 00:00:00",756
"2010-01-15 00:00:00",676
"2010-01-16 00:00:00",573
"2010-01-17 00:00:00",534
"2010-01-18 00:00:00",692
"2010-01-19 00:00:00",702
"2010-01-20 00:00:00",717
"2010-01-21 00:00:00",678
"2010-01-22 00:00:00",903
"2010-01-23 00:00:00",69
